Date,Opponent,Time,From Price
3/26/2026,Guardians,7:10pm,87
3/27/2026,Guardians,6:40pm,40
3/28/2026,Guardians,6:40pm,51
3/29/2026,Guardians,4:20pm,30
3/30/2026,Yankees,6:40pm,31
3/31/2026,Yankees,6:40pm,33
4/1/2026,Yankees,1:10pm,29
4/10/2026,Astros,6:40pm,37
4/11/2026,Astros,6:40pm,27
4/12/2026,Astros,1:10pm,27
4/13/2026,Astros,1:10pm,19
4/17/2026,Rangers,6:40pm,25
4/18/2026,Rangers,4:15pm,36
4/19/2026,Rangers,1:10pm,28
4/20/2026,Athletics,6:40pm,19
4/21/2026,Athletics,6:40pm,19
4/22/2026,Athletics,1:10pm,19
5/1/2026,Royals,6:40pm,37
5/2/2026,Royals,6:40pm,50
5/3/2026,Royals,1:10pm,29
5/4/2026,Braves,6:40pm,24
5/5/2026,Braves,6:40pm,24
5/6/2026,Braves,1:10pm,21
5/15/2026,Padres,6:40pm,39
5/16/2026,Padres,4:15pm,39
5/17/2026,Padres,4:20pm,33
5/18/2026,White Sox,6:40pm,22
5/19/2026,White Sox,6:40pm,20
5/20/2026,White Sox,1:10pm,19
5/29/2026,Diamondbacks,7:10pm,37
5/30/2026,Diamondbacks,7:10pm,39
5/31/2026,Diamondbacks,1:10pm,32
6/1/2026,Mets,6:40pm,34
6/2/2026,Mets,6:40pm,35
6/3/2026,Mets,12:40pm,35
6/16/2026,Orioles,6:40pm,24
6/17/2026,Orioles,6:40pm,24
6/18/2026,Orioles,1:10pm,24
6/19/2026,Red Sox,7:10pm,29
6/20/2026,Red Sox,7:15pm,41
6/21/2026,Red Sox,1:10pm,63
6/29/2026,Angels,6:40pm,24
6/30/2026,Angels,6:40pm,24
7/2/2026,Angels,6:40pm,24
7/3/2026,Blue Jays,7:10pm,80
7/4/2026,Blue Jays,1:10pm,77
7/5/2026,Blue Jays,2:00pm,72
7/17/2026,Giants,7:10pm,55
7/18/2026,Giants,5:08pm,59
7/19/2026,Giants,1:10pm,54
7/20/2026,Reds,6:40pm,24
7/21/2026,Reds,6:40pm,29
7/22/2026,Reds,12:40pm,34
7/31/2026,Twins,7:10pm,42
8/1/2026,Twins,1:10pm,48
8/2/2026,Twins,1:10pm,47
8/4/2026,Tigers,6:40pm,24
8/5/2026,Tigers,6:40pm,26
8/6/2026,Tigers,1:10pm,30
8/7/2026,Rays,7:10pm,55
8/8/2026,Rays,6:50pm,58
8/9/2026,Rays,1:10pm,43
8/21/2026,Cubs,7:10pm,53
8/22/2026,Cubs,6:40pm,86
8/23/2026,Cubs,1:10pm,62
8/24/2026,Phillies,6:40pm,37
8/25/2026,Phillies,6:40pm,33
8/26/2026,Phillies,1:10pm,39
9/3/2026,Athletics,6:40pm,24
9/4/2026,Athletics,7:10pm,35
9/5/2026,Athletics,6:40pm,39
9/6/2026,Athletics,1:10pm,37
9/8/2026,Rangers,6:40pm,24
9/9/2026,Rangers,6:40pm,24
9/10/2026,Rangers,1:10pm,24
9/22/2026,Astros,6:40pm,24
9/23/2026,Astros,7:10pm,24
9/24/2026,Angels,6:40pm,20
9/25/2026,Angels,7:10pm,35
9/26/2026,Angels,6:40pm,39
9/27/2026,Angels,12:10pm,37
